Timestamp,Date,Time,Crab Legolas PTS,Crab Legolas PROJ,Crab Legolas WPCT,Two Minute Excadrill PTS,Two Minute Excadrill PROJ,Two Minute Excadrill WPCT,Island of Misfit Boys PTS,Island of Misfit Boys PROJ,Island of Misfit Boys WPCT,Neon Cactus TNF PTS,Neon Cactus TNF PROJ,Neon Cactus TNF WPCT,The Mania PTS,The Mania PROJ,The Mania WPCT,Mean Bean Disappointments PTS,Mean Bean Disappointments PROJ,Mean Bean Disappointments WPCT,NoRtHwEsTeRn WaLk SiGn PTS,NoRtHwEsTeRn WaLk SiGn PROJ,NoRtHwEsTeRn WaLk SiGn WPCT,Sandbaggers PTS,Sandbaggers PROJ,Sandbaggers WPCT,Jake the Dog PTS,Jake the Dog PROJ,Jake the Dog WPCT,Carrie's Quads PTS,Carrie's Quads PROJ,Carrie's Quads WPCT,The Chop Block PTS,The Chop Block PROJ,The Chop Block WPCT,Third Down Syndrome PTS,Third Down Syndrome PROJ,Third Down Syndrome WPCT
1757032697,2025-09-04,17:38:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,2.12,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.43999999999999995,5.00,116.94,0.45999999999999996,1.90,127.65,0.56,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032757,2025-09-04,17:39:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,2.36,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.43999999999999995,5.00,116.94,0.45999999999999996,1.90,127.65,0.56,3.70,113.70,0.51,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757032817,2025-09-04,17:40:17,0.00,119.76,0.56,0.00,117.00,0.54,0.00,115.08,0.54,3.12,116.71,0.5,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,1.90,127.65,0.55,3.70,113.70,0.5,0.00,120.31,0.5700000000000001,0.00,111.98,0.45999999999999996
1757032877,2025-09-04,17:41:17,0.00,119.74,0.56,0.00,116.99,0.53,0.00,115.08,0.54,3.12,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,2.10,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.5700000000000001,0.00,111.99,0.47
1757032937,2025-09-04,17:42:17,0.00,119.74,0.56,0.00,116.99,0.53,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.47
1757032997,2025-09-04,17:43:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033060,2025-09-04,17:44:20,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033117,2025-09-04,17:45:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033177,2025-09-04,17:46:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033237,2025-09-04,17:47:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033297,2025-09-04,17:48:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.55,0.00,113.56,0.43999999999999995,1.52,113.24,0.42999999999999994,0.00,119.84,0.44999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.55,3.70,113.70,0.44999999999999996,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033357,2025-09-04,17:49:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.52,116.71,0.53,0.00,113.56,0.43999999999999995,2.24,113.24,0.42999999999999994,0.00,119.84,0.45999999999999996,5.00,116.94,0.44999999999999996,2.10,127.65,0.54,6.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033417,2025-09-04,17:50:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.56,116.71,0.53,0.00,113.56,0.43999999999999995,2.24,113.24,0.42999999999999994,0.00,119.84,0.45999999999999996,5.00,116.94,0.44999999999999996,2.00,127.65,0.54,6.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033477,2025-09-04,17:51:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.56,116.71,0.49,0.00,113.56,0.43999999999999995,3.28,113.24,0.43999999999999995,0.00,119.84,0.47,5.00,116.94,0.44999999999999996,2.00,127.65,0.53,9.10,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757033537,2025-09-04,17:52:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,9.56,116.71,0.48,0.00,113.56,0.43999999999999995,3.28,113.24,0.42999999999999994,0.00,119.84,0.47,5.00,116.94,0.44999999999999996,2.00,127.65,0.53,9.10,113.70,0.52,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033597,2025-09-04,17:53:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,8.76,116.71,0.47,0.00,113.56,0.43999999999999995,3.16,113.24,0.42999999999999994,0.00,119.84,0.48,5.00,116.94,0.44999999999999996,2.00,127.65,0.52,9.10,113.70,0.53,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033657,2025-09-04,17:54:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,8.76,116.71,0.47,0.00,113.56,0.43999999999999995,3.16,113.24,0.42999999999999994,0.00,119.84,0.48,5.00,116.94,0.44999999999999996,2.00,127.65,0.52,9.10,113.70,0.53,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033718,2025-09-04,17:55:18,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.55,8.76,116.71,0.47,0.00,113.56,0.43999999999999995,3.16,113.24,0.42999999999999994,0.00,119.84,0.48,5.00,116.94,0.44999999999999996,2.00,127.65,0.52,9.10,113.70,0.53,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033777,2025-09-04,17:56:17,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.56,8.76,116.71,0.48,0.00,113.56,0.43999999999999995,3.16,113.24,0.42999999999999994,0.00,119.84,0.49,5.00,116.94,0.43999999999999995,2.00,127.65,0.51,9.10,113.70,0.52,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757033838,2025-09-04,17:57:18,0.00,119.74,0.56,1.00,116.99,0.54,0.00,115.08,0.56,8.76,116.71,0.48,0.00,113.56,0.43999999999999995,3.16,113.24,0.42999999999999994,0.00,119.84,0.49,5.00,116.94,0.43999999999999995,2.00,127.65,0.51,9.10,113.70,0.52,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757036142,2025-09-04,18:35:42,0.00,119.74,0.56,2.00,116.99,0.53,0.00,115.08,0.56,21.12,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.52,7.00,116.94,0.43999999999999995,6.00,127.65,0.48,9.10,113.70,0.42999999999999994,0.00,120.31,0.6,0.00,111.99,0.47
1757036202,2025-09-04,18:36:42,0.00,119.74,0.56,2.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.52,7.00,116.94,0.43999999999999995,6.00,127.65,0.48,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036262,2025-09-04,18:37:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036322,2025-09-04,18:38:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036382,2025-09-04,18:39:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036442,2025-09-04,18:40:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036502,2025-09-04,18:41:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.22,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036562,2025-09-04,18:42:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.42,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036622,2025-09-04,18:43:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.62,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036682,2025-09-04,18:44:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,21.62,116.71,0.58,0.00,113.56,0.43999999999999995,4.62,113.24,0.4,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.42000000000000004,0.00,120.31,0.6,0.00,111.99,0.47
1757036742,2025-09-04,18:45:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,23.02,116.71,0.59,0.00,113.56,0.43999999999999995,4.98,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.41000000000000003,0.00,120.31,0.59,0.00,111.99,0.47
1757036802,2025-09-04,18:46:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,23.02,116.71,0.59,0.00,113.56,0.43999999999999995,4.98,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,9.10,113.70,0.41000000000000003,0.00,120.31,0.59,0.00,111.99,0.47
1757036862,2025-09-04,18:47:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.56,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,7.00,116.94,0.43999999999999995,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757036922,2025-09-04,18:48:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757036985,2025-09-04,18:49:45,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037042,2025-09-04,18:50:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037102,2025-09-04,18:51:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037162,2025-09-04,18:52:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037222,2025-09-04,18:53:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037282,2025-09-04,18:54:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037342,2025-09-04,18:55:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037402,2025-09-04,18:56:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037462,2025-09-04,18:57:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037522,2025-09-04,18:58:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037582,2025-09-04,18:59:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037643,2025-09-04,19:00:43,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037702,2025-09-04,19:01:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037762,2025-09-04,19:02:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.02,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.59,0.00,111.99,0.47
1757037822,2025-09-04,19:03:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.22,116.71,0.58,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,13.00,127.65,0.55,10.60,113.70,0.42000000000000004,0.00,120.31,0.59,0.00,111.99,0.47
1757037882,2025-09-04,19:04:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.58,116.71,0.58,0.00,113.56,0.43999999999999995,5.38,113.24,0.41000000000000003,0.00,119.84,0.45999999999999996,12.00,116.94,0.48,13.00,127.65,0.54,10.60,113.70,0.42000000000000004,0.00,120.31,0.59,0.00,111.99,0.47
1757037942,2025-09-04,19:05:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.58,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.4,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,14.20,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.6,0.00,111.99,0.47
1757038002,2025-09-04,19:06:42,0.00,119.76,0.56,3.00,117.00,0.53,0.00,115.08,0.52,23.58,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.4,0.00,119.84,0.44999999999999996,12.00,116.94,0.48,14.20,127.65,0.55,10.60,113.70,0.42999999999999994,0.00,120.31,0.6,0.00,111.98,0.47
1757038062,2025-09-04,19:07:42,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.58,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.4,0.00,119.84,0.45999999999999996,12.00,116.94,0.48,14.20,127.65,0.54,10.60,113.70,0.42999999999999994,0.00,120.31,0.6,0.00,111.99,0.47
1757038123,2025-09-04,19:08:43,0.00,119.74,0.56,3.00,116.99,0.53,0.00,115.08,0.52,23.58,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.4,0.00,119.84,0.45999999999999996,12.00,116.94,0.48,14.20,127.65,0.54,10.60,113.70,0.42999999999999994,0.00,120.31,0.6,0.00,111.99,0.47
1757038182,2025-09-04,19:09:42,0.00,119.74,0.56,8.00,116.99,0.5700000000000001,0.00,115.08,0.53,23.74,116.71,0.5700000000000001,0.00,113.56,0.43999999999999995,5.38,113.24,0.39,0.00,119.84,0.47,12.00,116.94,0.47,14.20,127.65,0.53,10.60,113.70,0.42999999999999994,0.00,120.31,0.61,0.00,111.99,0.42999999999999994
